Symbol,Close Price,Band,Margin,Tradable
PCJEWELLER,13.39,20,5,Yes
INDUSTOWER,357.6,No Band,5,Yes
RAILTEL,396.95,20,5,Yes
VMART,739,20,5,Yes
MTARTECH,1728.4,20,5,Yes
JUBLINGREA,716.7,20,5,Yes
ANURAS,1099,20,5,Yes
LXCHEM,223.24,20,5,Yes
CRAFTSMAN,6748.5,20,5,Yes
KALYANKJIL,508.55,No Band,5,Yes
SHARDAMOTR,1072.4,20,5,Yes
NAZARA,1095.3,20,5,Yes
JUSTDIAL,849.85,20,5,Yes
ORIENTCEM,226.32,20,5,Yes
ABFRL,86.68,20,5,Yes
SAMMAANCAP,136.14,No Band,5,Yes
LODHA,1200.7,No Band,5,Yes
IWEL,10293,20,5,Yes
SONACOMS,432.55,No Band,5,Yes
SHYAMMETL,924.85,20,5,Yes
KIMS,757,20,5,Yes
DODLA,1423.6,20,5,Yes
GRINFRA,1321.3,20,5,Yes
CLEAN,1173.9,20,5,Yes
ETERNAL,327.3,No Band,5,Yes
ALIVUS,936.6,20,5,Yes
DEVYANI,182.12,20,5,Yes
EPIGRAL,1772.9,20,5,Yes
CARTRADE,2373.7,20,5,Yes
NUVOCO,442.8,20,5,Yes
CHEMPLASTS,435.85,20,5,Yes
APTUS,334.15,20,5,Yes
VIJAYA,1052.3,20,5,Yes
SANSERA,1429.1,20,5,Yes
PARAS,738.7,10,5,Yes
SKIPPER,539.15,20,5,Yes
ABSLAMC,841.25,20,5,Yes
GULFOILLUB,1311,20,5,Yes
SHARDACROP,885.65,20,5,Yes
NYKAA,243.74,No Band,5,Yes
POLICYBZR,1822,No Band,5,Yes
PAYTM,1231.3,No Band,5,Yes
PDSL,332.05,20,5,Yes
SAPPHIRE,326.45,20,5,Yes
LATENTVIEW,416.6,20,5,Yes
STARHEALTH,450.85,20,5,Yes
TEGA,2069.5,20,5,Yes
ANANDRATHI,3063.8,20,5,Yes
RATEGAIN,642.85,20,5,Yes
MAPMYINDIA,1639,20,5,Yes
